Tipo de Contrato,Estamento,Apellido Paterno,Apellido Materno,Nombres,Grado,Calificación Profesional o Formación,Cargo o Función,Región,A Asignaciones Especiales $ (Cifra incluida en B),Unidad Monetaria,B Remuneración Bruta Mensualizada $ (Contempla cifras de A+C+D),C Horas Extras Diurnas $ (Cifra incluida en B),D Horas Extras Nocturnas $ (Cifra incluida en B),Fecha Inicio,Fecha Termino,Observaciones
CONTRATA,Administrativo,***,***,***,18,Sin Información,ADMINISTRATIVO,RM,1246914,Pesos,2134823,0,0,01-06-2011,31-12-2024,1206
CONTRATA,Técnico,***,***,***,25,Sin Información,AYUDANTE DE ENFERMERIA PABELLONES,RM,259366,Pesos,1311681,0,0,01-09-2022,30-06-2024,1501
CONTRATA,Académico,***,***,***,07,Magíster,Prof. Asociado,RM,864896,Pesos,3567335,0,0,01-04-2022,31-12-2024,1213
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,214510,Pesos,415891,0,0,01-06-2010,31-12-2024,1501
CONTRATA,Académico,***,***,***,09,Especialidad Médica u Odontológica,Prof. Asistente,RM,116986,Pesos,476529,0,0,01-03-2017,31-12-2024,1213
CONTRATA,Administrativo,***,***,***,22,Sin Información,RECEPCIONISTA CENTRO DE IMAGENOLOGIA,RM,50092,Pesos,1214737,9666,19335,01-08-2020,31-12-2024,1501
CONTRATA,Auxiliar,***,***,***,22,Sin Información,AUXILIAR GENERAL DE ASEO,RM,90459,Pesos,740259,48330,77340,01-05-2021,31-12-2024,1501
CONTRATA,Administrativo,***,***,***,22,Sin Información,ADMINISTRATIVO,RM,309918,Pesos,819280,0,0,01-01-2024,31-03-2024,1213
CONTRATA,Académico,***,***,***,07,Profesor De Educacion Musical,Prof. Asociado,RM,953153,Pesos,2605592,0,0,01-08-2007,31-12-2024,1202
CONTRATA,Auxiliar,***,***,***,22,Sin Información,AUXILIAR DE ENFERMERIA,RM,0,Pesos,1273594,0,103120,01-07-2019,31-12-2024,1501
CONTRATA,Profesional,***,***,***,17,Ingeniero en Conectividad y Redes,PROFESIONAL,RM,1138942,Pesos,2463179,0,0,11-12-2023,31-03-2024,1206
CONTRATA,Profesional,***,***,***,17,Licenciado,PROFESIONAL,RM,798982,Pesos,1436028,0,0,01-01-2021,31-12-2024,1202
CONTRATA,Académico,***,***,***,05,Medico-Cirujano,Prof. Asistente,RM,304599,Pesos,972757,0,0,01-08-2014,31-12-2024,1501
CONTRATA,Administrativo,***,***,***,25,Ingeniero Comercial,ADMINISTRATIVO,RM,681057,Pesos,1922596,0,0,01-07-2022,31-12-2024,1205
CONTRATA,Administrativo,***,***,***,17,Sin Información,ADMINISTRATIVO,RM,787999,Pesos,1463000,0,0,10-10-2023,30-06-2024,1205
CONTRATA,Profesional,***,***,***,15,Cartógrafo,PROFESIONAL,RM,700427,Pesos,1669010,0,0,01-01-2017,31-12-2024,1206
CONTRATA,Auxiliar,***,***,***,25,Sin Información,AUXILIAR,RM,99570,Pesos,692742,0,162350,02-01-2020,31-12-2024,1501
CONTRATA,Técnico,***,***,***,18,Sin Información,TÉCNICO,RM,181371,Pesos,887462,0,0,01-07-2023,31-12-2024,1213
CONTRATA,Profesional,***,***,***,17,Quimico Farmaceutico,QUIMICO FARMACEUTICO,RM,693214,Pesos,2235396,0,0,01-06-2017,31-12-2024,1501
CONTRATA,Técnico,***,***,***,18,Sin Información,TÉCNICO,RM,466482,Pesos,823327,0,0,01-01-2020,31-12-2024,1108
CONTRATA,Auxiliar,***,***,***,25,Contador,AUXILIAR,RM,206628,Pesos,664746,0,0,01-05-2023,31-12-2024,1210
CONTRATA,Profesional,***,***,***,17,Matrona,PROFESIONAL,RM,84445,Pesos,207480,0,0,01-11-2023,31-12-2024,1213
CONTRATA,Auxiliar,***,***,***,25,Sin Información,Auxiliar General,RM,212898,Pesos,666516,0,0,01-09-2023,29-02-2024,1213
CONTRATA,Profesional,***,***,***,11,Ingeniero Ejec. en Informatica,PROFESIONAL,RM,1553015,Pesos,2839756,0,0,03-06-2019,31-12-2024,1109
CONTRATA,Profesional,***,***,***,17,Constructor Civil,PROFESIONAL,RM,2972447,Pesos,3829662,0,0,15-06-2022,31-03-2024,1206
CONTRATA,Auxiliar,***,***,***,23,Sin Información,Guardia de Seguridad,RM,162084,Pesos,666516,0,0,01-06-2023,30-06-2024,1213
CONTRATA,Técnico,***,***,***,22,Sin Información,TÉCNICO,RM,233249,Pesos,742611,0,0,01-01-2023,31-12-2024,1214
CONTRATA,Auxiliar,***,***,***,25,Sin Información,AUXILIAR,RM,426874,Pesos,1114827,0,0,01-05-2016,31-12-2024,1213
CONTRATA,Profesional,***,***,***,12,Contador Auditor,PROFESIONAL,RM,697119,Pesos,1906241,0,0,01-04-2021,31-12-2024,1212
CONTRATA,Administrativo,***,***,***,22,Sin Información,SECRETARIA DE SECCION O SERVICIO,RM,97575,Pesos,662280,0,0,17-01-2022,31-12-2024,1501
CONTRATA,Profesional,***,***,***,12,Profesor De Educacion Fisica,PROFESIONAL,RM,167461,Pesos,1376583,0,0,01-01-2019,31-12-2024,1108
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE TECNICO DE FARMACIA,RM,113379,Pesos,914756,0,32225,01-08-2022,31-12-2024,1501
CONTRATA,Administrativo,***,***,***,20,Sin Información,SECRETARIA DE DEPARTAMENTO O DIRECCION,RM,566568,Pesos,1271458,0,0,01-04-2010,31-12-2024,1207
CONTRATA,Auxiliar,***,***,***,21,Sin Información,AUXILIAR,RM,238901,Pesos,777636,0,0,01-01-2016,31-12-2024,1206
CONTRATA,Administrativo,***,***,***,22,Sin Información,SECRETARIA DE UNIDAD,RM,0,Pesos,673671,0,0,01-04-2021,31-12-2024,1501
CONTRATA,Profesional,***,***,***,17,Ingeniero Constructor,PROFESIONAL,RM,579631,Pesos,1436846,0,0,01-09-2022,31-03-2024,1206
CONTRATA,Auxiliar,***,***,***,21,Sin Información,AUXILIAR,RM,238901,Pesos,777636,0,0,01-10-2018,31-12-2024,1206
CONTRATA,Académico,***,***,***,09,Especialidad Médica u Odontológica,Prof. Adjunto,RM,12026,Pesos,380380,0,0,01-08-2023,31-12-2024,1213
CONTRATA,Académico,***,***,***,11,Magíster,Inst. Adjunto,RM,12056,Pesos,84258,0,0,01-09-2010,31-12-2024,1206
CONTRATA,Técnico,***,***,***,22,Sin Información,Técnico de Laboratorio,RM,133474,Pesos,845585,0,0,01-10-2020,31-12-2024,1501
CONTRATA,Académico,***,***,***,09,Especialidad Médica u Odontológica,Prof. Adjunto,RM,12026,Pesos,380380,0,0,01-07-2022,31-12-2024,1213
CONTRATA,Académico,***,***,***,05,Dentista,Prof. Asistente,RM,529672,Pesos,651844,0,0,01-04-2020,31-12-2024,1214
CONTRATA,Administrativo,***,***,***,17,Sin Información,ADMINISTRATIVO,RM,628882,Pesos,1303883,0,0,01-04-2021,31-12-2024,1206
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA GENERAL,RM,76216,Pesos,1277077,0,128900,01-08-2019,31-12-2024,1501
CONTRATA,Auxiliar,***,***,***,22,Sin Información,AUXILIAR,RM,0,Pesos,816068,0,128900,01-11-2019,31-12-2024,1501
CONTRATA,Técnico,***,***,***,22,Sin Información,Ejecutivo Call Center,RM,34121,Pesos,959120,0,0,01-11-2020,31-12-2024,1501
CONTRATA,Técnico,***,***,***,22,Sin Información,TÉCNICO,RM,1039878,Pesos,1549240,0,0,01-12-2013,31-12-2024,1206
CONTRATA,Técnico,***,***,***,25,Sin Información,TÉCNICO,RM,303731,Pesos,1012251,0,0,01-10-2022,31-03-2024,1206
CONTRATA,Académico,***,***,***,09,Especialidad Médica u Odontológica,Prof. Adjunto,RM,12026,Pesos,380380,0,0,01-11-2023,31-12-2024,1213
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,728060,Pesos,1515548,0,0,01-08-2012,31-12-2024,1213
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,541155,Pesos,769832,0,0,01-04-2013,31-12-2024,1213
CONTRATA,Profesional,***,***,***,09,Ingeniero Civil Matematico,PROFESIONAL,RM,1064205,Pesos,2521949,0,0,01-04-2015,31-12-2024,1206
CONTRATA,Académico,***,***,***,09,Ingeniero Civil Matematico,Prof. Adjunto,RM,0,Pesos,872839,0,0,01-05-2016,31-12-2024,1206
CONTRATA,Académico,***,***,***,05,Especialista,Prof. Asociado,RM,321849,Pesos,655926,0,0,01-07-2010,31-12-2024,1213
CONTRATA,Profesional,***,***,***,15,Contador Auditor,PROFESIONAL,RM,598917,Pesos,1567500,0,0,01-05-2023,31-12-2024,1205
CONTRATA,Profesional,***,***,***,17,Tecnólogo Medico,TECNOLOGO MEDICO LABORATORIO,RM,827595,Pesos,2176002,0,220400,02-09-2019,31-12-2024,1501
CONTRATA,Técnico,***,***,***,18,Sin Información,TÉCNICO,RM,275713,Pesos,1170753,0,0,01-12-2018,31-12-2024,1213
CONTRATA,Académico,***,***,***,13,Sin Información,No Evaluado,RM,669821,Pesos,1103120,0,0,01-08-2012,31-12-2024,1601
CONTRATA,Profesional,***,***,***,15,Kinesiologo,PROFESIONAL,RM,1252042,Pesos,2220625,0,0,01-05-2023,31-12-2024,1205
CONTRATA,Profesional,***,***,***,15,Periodista,PROFESIONAL,RM,598917,Pesos,1567500,0,0,02-11-2023,31-12-2024,1217
CONTRATA,Académico,***,***,***,11,Fonoaudiologo,Inst. Adjunto,RM,41303,Pesos,366907,0,0,01-03-2015,31-12-2024,1213
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,314847,Pesos,516228,0,0,01-05-2013,31-12-2024,1213
CONTRATA,Profesional,***,***,***,15,Ingeniero Comercial,PROFESIONAL,RM,807540,Pesos,1776123,0,0,01-08-2022,31-12-2024,1205
CONTRATA,Profesional,***,***,***,12,Profesor de Estado en Castellano,PROFESIONAL,RM,385548,Pesos,1594670,0,0,01-03-2023,31-12-2024,1701
CONTRATA,Académico,***,***,***,07,Doctor,Prof. Asociado,RM,1618762,Pesos,3271201,0,0,01-05-2020,31-12-2024,1202
CONTRATA,Académico,***,***,***,07,Sin Grado,Prof. Asociado,RM,1383626,Pesos,3036065,0,0,01-09-2022,31-12-2024,1217
CONTRATA,Profesional,***,***,***,17,Bibliotecario Documentalista,BIBLIOTECARIA,RM,483363,Pesos,1597709,0,0,01-10-2014,31-12-2024,1213
CONTRATA,Técnico,***,***,***,23,Sin Información,AYUDANTE DE ENFERMERIA ANESTESIA,RM,553649,Pesos,2395521,0,121600,01-08-2023,31-12-2024,1501
CONTRATA,Técnico,***,***,***,22,Sin Información,OPERADORA TELEFONICA,RM,17254,Pesos,872688,0,128900,01-11-2020,31-12-2024,1501
CONTRATA,Profesional,***,***,***,13,Periodista,PROFESIONAL,RM,533308,Pesos,1628301,0,0,01-01-2016,31-12-2024,1108
CONTRATA,Auxiliar,***,***,***,22,Sin Información,VIGILANTE,RM,37775,Pesos,687274,0,0,01-05-2021,31-12-2024,1501
CONTRATA,Administrativo,***,***,***,17,Sin Información,ADMINISTRATIVO,RM,491812,Pesos,1772318,0,0,01-04-2016,31-12-2024,1206
CONTRATA,Profesional,***,***,***,17,Ingeniero Agronomo,PROFESIONAL,RM,1398516,Pesos,2250000,0,0,01-01-2023,31-12-2024,1204
CONTRATA,Auxiliar,***,***,***,24,Sin Información,AUXILIAR,RM,283049,Pesos,738522,0,0,01-04-2022,31-12-2024,1212
CONTRATA,Profesional,***,***,***,17,Ingeniero De Ejecución En Administración,PROFESIONAL,RM,881297,Pesos,1738512,0,0,01-06-2020,31-12-2024,1209
CONTRATA,Auxiliar,***,***,***,22,Sin Información,AUXILIAR DE ENFERMERIA,RM,0,Pesos,662033,0,0,01-01-2024,29-02-2024,1501
CONTRATA,Administrativo,***,***,***,17,Sin Información,ADMINISTRATIVO,RM,988038,Pesos,2331821,0,0,01-11-2013,31-12-2024,1206
CONTRATA,Auxiliar,***,***,***,22,Sin Información,Auxiliar General,RM,0,Pesos,640691,0,0,01-08-2023,30-04-2024,1501
CONTRATA,Académico,***,***,***,03,Doctor,Prof. Asistente,RM,1803729,Pesos,3033941,0,0,01-01-2021,31-12-2024,1214
CONTRATA,Profesional,***,***,***,12,Ingeniero Comercial,PROFESIONAL,RM,1089242,Pesos,2298364,0,0,10-10-2023,30-06-2024,1205
CONTRATA,Profesional,***,***,***,12,Ingeniero de Ejecución en Computación e Informática,INGENIERO OPERADOR,RM,2145328,Pesos,3354450,0,0,01-09-2013,31-12-2024,1701
CONTRATA,Auxiliar,***,***,***,23,Sin Información,AUXILIAR,RM,115006,Pesos,1081040,30400,0,30-11-2023,31-12-2024,1501
CONTRATA,Auxiliar,***,***,***,21,Sin Información,AUXILIAR,RM,238901,Pesos,777636,0,0,01-04-2019,31-12-2024,1206
CONTRATA,Profesional,***,***,***,17,Constructor Civil,PROFESIONAL,RM,2607681,Pesos,3894678,0,0,01-10-2019,31-12-2024,1206
CONTRATA,Técnico,***,***,***,25,Sin Información,TÉCNICO,RM,267902,Pesos,806430,0,0,01-07-2021,31-12-2024,1206
CONTRATA,Académico,***,***,***,09,Medico-Veterinario,Prof. Asistente,RM,504146,Pesos,1232045,0,0,01-04-2014,31-12-2024,1210
CONTRATA,Técnico,***,***,***,10,Sin Información,TÉCNICO,RM,64899,Pesos,1069983,0,0,01-09-2014,31-12-2024,1208
CONTRATA,Auxiliar,***,***,***,25,Sin Información,AUXILIAR,RM,316026,Pesos,746848,0,0,01-05-2022,31-12-2024,1702
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,715472,Pesos,4567340,0,0,01-06-2015,31-12-2024,1501
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof. Asistente,RM,192834,Pesos,356222,0,0,01-11-2014,31-12-2024,1213
CONTRATA,Académico,***,***,***,07,Especialista,Prof. Asociado,RM,195753,Pesos,612782,0,0,01-01-2018,31-12-2024,1213
CONTRATA,Profesional,***,***,***,17,Enfermera,Enfermera,RM,827597,Pesos,2296251,0,220400,02-07-2020,31-12-2024,1501
CONTRATA,Académico,***,***,***,07,Especialidad Médica u Odontológica,Prof. Asociado,RM,217199,Pesos,634228,0,0,01-06-2021,31-12-2024,1213
CONTRATA,Profesional,***,***,***,17,Ingeniero Civil Industrial,PROFESIONAL,RM,1755285,Pesos,2612500,0,0,01-08-2023,31-12-2024,1213
CONTRATA,Profesional,***,***,***,15,Sociologo,PROFESIONAL,RM,464575,Pesos,947893,0,0,01-04-2022,31-12-2024,1209
CONTRATA,Académico,***,***,***,08,Magíster,Prof. Adjunto,RM,195773,Pesos,935945,0,0,01-10-2020,31-12-2024,1212
CONTRATA,Profesional,***,***,***,12,Magíster,Profesional Docente,RM,626984,Pesos,1257607,0,0,01-01-2023,31-12-2024,1212
CONTRATA,Técnico,***,***,***,18,Técnico Superior De Laboratorio Clínico y Banco de Sangre,Técnico de Laboratorio,RM,181371,Pesos,819280,0,0,01-11-2023,31-03-2024,1213
CONTRATA,Académico,***,***,***,05,Doctor,Profesional Ley Médica,RM,2706145,Pesos,4726771,0,0,01-06-2022,31-12-2024,1501
CONTRATA,Profesional,***,***,***,14,Ingeniero De Ejecución En Administración,PROFESIONAL,RM,1541980,Pesos,2771745,0,0,17-01-2022,31-12-2024,1206
CONTRATA,Técnico,***,***,***,25,Sin Información,TÉCNICO,RM,346815,Pesos,847637,0,0,01-06-2022,31-12-2024,1206
CONTRATA,Profesional,***,***,***,17,Bioquimico,PROFESIONAL,RM,971196,Pesos,2189000,0,0,01-01-2023,31-12-2024,1213
CONTRATA,Académico,***,***,***,04,Magíster,Prof. Asistente,RM,1232179,Pesos,1870729,0,0,01-07-2023,31-12-2024,1501
CONTRATA,Académico,***,***,***,07,Doctor,Prof. Asociado,RM,1510034,Pesos,3162473,0,0,01-12-2023,31-12-2024,1209
CONTRATA,Técnico,***,***,***,19,Sin Información,TÉCNICO,RM,351745,Pesos,954645,0,0,01-03-2023,31-12-2024,1204
CONTRATA,Académico,***,***,***,03,Doctor,Prof. Asistente,RM,1463085,Pesos,2067072,0,0,01-04-2011,31-12-2024,1214
CONTRATA,Técnico,***,***,***,22,Sin Información,TÉCNICO,RM,744638,Pesos,1254000,0,0,01-08-2023,31-12-2024,1214
CONTRATA,Profesional,***,***,***,15,Periodista,PROFESIONAL,RM,494417,Pesos,1463000,0,0,13-03-2023,31-12-2024,1216
CONTRATA,Profesional,***,***,***,17,Ingeniero Ambiental,PROFESIONAL,RM,191609,Pesos,1178824,0,0,01-01-2019,31-12-2024,1301
CONTRATA,Técnico,***,***,***,19,Enfermera,TÉCNICO,RM,165150,Pesos,768050,0,0,01-07-2022,31-12-2024,1108
CONTRATA,Administrativo,***,***,***,22,Sin Información,ANALISTA CONTABLE,RM,112662,Pesos,899607,9666,0,01-09-2022,31-12-2024,1501
CONTRATA,Auxiliar,***,***,***,22,Sin Información,AUXILIAR DE ENFERMERIA,RM,21031,Pesos,734192,0,128900,01-08-2023,31-12-2024,1501
CONTRATA,Profesional,***,***,***,17,Magíster,PROFESIONAL,RM,2478695,Pesos,3335910,0,0,01-04-2015,31-12-2024,1213
CONTRATA,Profesional,***,***,***,14,Asistente Social,PROFESIONAL,RM,646657,Pesos,1676422,0,0,01-04-2019,31-12-2024,1201
CONTRATA,Profesional,***,***,***,17,Enfermera,PROFESIONAL,RM,1627920,Pesos,3257279,0,176320,13-08-2012,31-12-2024,1501
CONTRATA,Profesional,***,***,***,12,Nutricionista,PROFESIONAL,RM,196354,Pesos,643720,0,0,01-01-2022,31-12-2024,1108
CONTRATA,Profesional,***,***,***,12,Nutricionista,PROFESIONAL,RM,409472,Pesos,856838,0,0,12-10-2021,31-12-2024,1108
CONTRATA,Académico,***,***,***,09,Magíster,Prof. Asistente,RM,253731,Pesos,981630,0,0,01-05-2023,31-12-2024,1213
CONTRATA,Profesional,***,***,***,17,Constructor Civil,PROFESIONAL,RM,0,Pesos,1339626,0,0,01-03-2023,31-12-2024,1206
CONTRATA,Académico,***,***,***,09,Doctor,Prof. Asistente,RM,2449427,Pesos,3513634,0,0,01-08-2022,31-12-2024,1206
CONTRATA,Académico,***,***,***,05,Especialidad Médica u Odontológica,Prof.Titular,RM,1369139,Pesos,1858519,0,0,01-06-2009,31-12-2024,1501
CONTRATA,Profesional,***,***,***,17,Enfermera,Enfermera,RM,949417,Pesos,2702493,0,0,01-11-2013,31-12-2024,1501
CONTRATA,Técnico,***,***,***,25,Sin Información,TÉCNICO,RM,346813,Pesos,777635,0,0,09-08-2021,31-12-2024,1206
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA GENERAL,RM,85921,Pesos,825534,0,0,01-11-2020,31-12-2024,1501
CONTRATA,Técnico,***,***,***,22,Sin Información,AYUDANTE DE ENFERMERIA PABELLONES,RM,180825,Pesos,1584120,0,0,01-09-2020,31-12-2024,1501
